# # q/A,1000000.0x,2000000.0x,3000000.0x,4000000.0x,5000000.0x,6000000.0x,7000000.0x,8000000.0x,9000000.0x,10000000.0
# 
0.32642651,0.00000000,0.00000018,0.00000011,0.00000010,0.00000020,0.00000018,0.00000024,0.00000000,0.00000000,0.00000000
0.33384530,0.00000000,0.00000020,0.00000011,0.00000009,0.00000019,0.00000016,0.00000037,0.00000000,0.00000000,0.00000000
0.34126408,0.00000000,0.00000023,0.00000012,0.00000010,0.00000018,0.00000018,0.00000032,0.00000000,0.00000000,0.00000000
0.34868287,0.00000000,0.00000020,0.00000010,0.00000009,0.00000018,0.00000021,0.00000026,0.00000000,0.00000000,0.00000000
0.35610165,0.00000000,0.00000022,0.00000011,0.00000011,0.00000017,0.00000018,0.00000024,0.00000000,0.00000000,0.00000000
0.36352043,0.00000000,0.00000023,0.00000010,0.00000009,0.00000016,0.00000016,0.00000024,0.00000000,0.00000000,0.00000000
0.37093922,0.00000000,0.00000018,0.00000009,0.00000008,0.00000017,0.00000019,0.00000023,0.00000000,0.00000000,0.00000000
0.37835800,0.00000000,0.00000023,0.00000011,0.00000009,0.00000015,0.00000020,0.00000018,0.00000000,0.00000000,0.00000000
0.38577679,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000016,0.00000019,0.00000000,0.00000000,0.00000000
0.39319557,0.00000000,0.00000023,0.00000012,0.00000009,0.00000017,0.00000015,0.00000020,0.00000000,0.00000000,0.00000000
0.40061436,0.00000000,0.00000024,0.00000010,0.00000009,0.00000017,0.00000020,0.00000020,0.00000000,0.00000000,0.00000000
0.40803314,0.00000000,0.00000025,0.00000009,0.00000009,0.00000016,0.00000021,0.00000026,0.00000000,0.00000000,0.00000000
0.41545192,0.00000000,0.00000022,0.00000010,0.00000009,0.00000016,0.00000021,0.00000016,0.00000000,0.00000000,0.00000000
0.42287071,0.00000000,0.00000020,0.00000010,0.00000008,0.00000015,0.00000018,0.00000022,0.00000000,0.00000000,0.00000000
0.43028949,0.00000000,0.00000021,0.00000010,0.00000008,0.00000016,0.00000018,0.00000016,0.00000000,0.00000000,0.00000000
0.43770828,0.00000000,0.00000021,0.00000010,0.00000008,0.00000017,0.00000016,0.00000021,0.00000000,0.00000000,0.00000000
0.44512706,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000020,0.00000021,0.00000000,0.00000000,0.00000000
0.45254585,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000020,0.00000024,0.00000000,0.00000000,0.00000000
0.45996463,0.00000000,0.00000024,0.00000010,0.00000009,0.00000015,0.00000019,0.00000023,0.00000000,0.00000000,0.00000000
0.46738342,0.00000000,0.00000019,0.00000011,0.00000008,0.00000015,0.00000015,0.00000023,0.00000000,0.00000000,0.00000000
0.47480220,0.00000000,0.00000021,0.00000009,0.00000008,0.00000015,0.00000018,0.00000019,0.00000000,0.00000000,0.00000000
0.48222098,0.00000000,0.00000021,0.00000009,0.00000009,0.00000015,0.00000017,0.00000023,0.00000000,0.00000000,0.00000000
0.48963977,0.00000000,0.00000019,0.00000010,0.00000008,0.00000014,0.00000016,0.00000023,0.00000000,0.00000000,0.00000000
