# # q/A,25.0fs,50.0fs,60.0fs,70.0fs,80.0fs,90.0fs,100.0
# 
1.37989389,0.00304096,0.00328930,0.00369118,0.00367386,0.00344310,0.00347073,0.00341363
1.38731268,0.00301258,0.00328415,0.00367598,0.00365756,0.00342488,0.00345086,0.00339043
1.39473146,0.00298709,0.00327986,0.00366526,0.00364493,0.00342476,0.00345058,0.00339005
1.40215025,0.00303108,0.00327423,0.00363132,0.00361743,0.00339476,0.00341561,0.00336170
1.40956903,0.00307003,0.00328757,0.00364749,0.00362786,0.00341290,0.00343095,0.00337733
1.41698781,0.00306030,0.00328710,0.00364937,0.00362791,0.00340075,0.00342954,0.00337104
1.42440660,0.00301892,0.00328244,0.00363440,0.00361312,0.00338977,0.00341552,0.00336480
1.43182538,0.00303199,0.00328975,0.00363353,0.00361265,0.00338822,0.00341844,0.00335803
1.43924417,0.00301174,0.00329125,0.00362034,0.00359844,0.00339422,0.00340092,0.00334335
1.44666295,0.00302126,0.00327933,0.00361375,0.00359723,0.00338905,0.00340602,0.00334159
1.45408174,0.00311812,0.00327598,0.00360436,0.00358248,0.00336454,0.00339130,0.00333479
1.46150052,0.00306778,0.00328911,0.00360478,0.00358024,0.00336899,0.00337868,0.00332321
1.46891931,0.00311682,0.00327305,0.00359657,0.00357314,0.00335542,0.00337743,0.00331487
1.47633809,0.00303752,0.00328928,0.00360100,0.00357594,0.00336748,0.00337320,0.00332164
1.48375687,0.00306775,0.00329272,0.00358736,0.00356212,0.00334804,0.00335598,0.00330091
1.49117566,0.00298938,0.00329124,0.00358831,0.00356469,0.00333653,0.00334992,0.00329955
1.49859444,0.00311773,0.00331463,0.00359334,0.00356467,0.00333796,0.00334932,0.00329855
1.50601323,0.00311817,0.00330144,0.00357299,0.00354800,0.00334421,0.00335352,0.00329452
1.51343201,0.00310432,0.00330419,0.00357249,0.00354861,0.00333478,0.00333855,0.00328260
1.52085080,0.00316837,0.00329802,0.00357131,0.00354303,0.00332247,0.00333994,0.00328406
1.52826958,0.00310973,0.00329535,0.00354944,0.00352289,0.00331687,0.00332128,0.00326398
1.53568836,0.00314216,0.00332614,0.00356984,0.00353888,0.00332576,0.00332692,0.00327561
1.54310715,0.00314901,0.00330066,0.00354771,0.00351647,0.00330226,0.00331837,0.00325536
1.55052593,0.00311019,0.00331509,0.00355491,0.00352673,0.00331747,0.00332134,0.00327076
1.55794472,0.00315477,0.00333554,0.00354392,0.00351216,0.00330670,0.00331189,0.00326058
1.56536350,0.00319892,0.00334033,0.00355094,0.00351966,0.00330101,0.00330515,0.00325230
1.57278229,0.00314027,0.00333891,0.00353713,0.00350980,0.00330618,0.00330597,0.00325064
1.58020107,0.00320899,0.00334157,0.00352963,0.00349956,0.00330003,0.00329916,0.00324545
1.58761986,0.00320758,0.00335347,0.00353500,0.00350343,0.00329576,0.00328224,0.00323629
1.59503864,0.00326325,0.00336304,0.00352418,0.00349238,0.00329408,0.00329258,0.00323600
1.60245742,0.00318314,0.00335396,0.00352234,0.00348510,0.00328831,0.00328313,0.00323213
1.60987621,0.00322081,0.00336138,0.00351706,0.00348206,0.00329676,0.00328043,0.00323489
1.61729499,0.00324976,0.00336848,0.00352051,0.00349155,0.00328680,0.00326838,0.00322535
1.62471378,0.00330222,0.00336732,0.00351181,0.00347329,0.00327473,0.00326568,0.00321304
1.63213256,0.00329413,0.00338266,0.00350676,0.00347163,0.00328222,0.00325505,0.00321066
1.63955135,0.00323220,0.00337602,0.00350327,0.00346944,0.00326556,0.00325081,0.00320437
1.64697013,0.00325994,0.00338897,0.00350355,0.00346954,0.00326128,0.00324140,0.00319818
1.65438891,0.00329144,0.00340166,0.00349762,0.00346584,0.00327065,0.00324528,0.00320038
1.66180770,0.00330252,0.00340926,0.00350594,0.00347110,0.00326653,0.00323545,0.00319635
1.66922648,0.00329972,0.00341485,0.00349540,0.00346146,0.00326399,0.00322835,0.00318534
1.67664527,0.00333935,0.00342649,0.00349763,0.00345887,0.00325210,0.00321058,0.00318296
1.68406405,0.00334526,0.00341013,0.00347214,0.00344285,0.00322863,0.00319850,0.00316349
1.69148284,0.00336818,0.00343650,0.00349192,0.00345175,0.00324165,0.00320408,0.00317121
1.69890162,0.00344818,0.00344655,0.00347323,0.00343576,0.00324268,0.00320212,0.00316763
1.70632041,0.00342877,0.00346685,0.00348376,0.00344645,0.00323457,0.00319778,0.00316435
1.71373919,0.00344085,0.00345845,0.00347500,0.00343450,0.00322860,0.00319238,0.00315993
1.72115797,0.00350223,0.00347568,0.00347389,0.00343426,0.00323432,0.00318620,0.00315125
1.72857676,0.00343424,0.00346948,0.00345916,0.00341719,0.00322482,0.00318000,0.00314372
1.73599554,0.00351396,0.00348283,0.00346053,0.00342001,0.00322539,0.00317661,0.00314869
1.74341433,0.00349529,0.00348874,0.00346199,0.00342206,0.00322416,0.00316642,0.00313643
1.75083311,0.00351589,0.00350131,0.00344858,0.00340714,0.00320412,0.00315715,0.00312455
1.75825190,0.00354084,0.00351223,0.00344931,0.00340465,0.00320504,0.00314940,0.00312664
1.76567068,0.00353167,0.00352936,0.00345074,0.00340552,0.00320069,0.00313922,0.00312242
1.77308946,0.00358259,0.00353775,0.00345035,0.00340234,0.00320072,0.00314046,0.00311662
1.78050825,0.00359037,0.00354492,0.00343606,0.00338904,0.00319932,0.00312810,0.00310054
1.78792703,0.00359217,0.00354715,0.00343105,0.00339033,0.00319286,0.00313172,0.00310420
1.79534582,0.00365582,0.00356473,0.00343046,0.00338345,0.00318829,0.00311953,0.00309450
1.80276460,0.00369474,0.00357475,0.00343226,0.00338867,0.00318282,0.00311162,0.00309133
1.81018339,0.00368360,0.00359058,0.00343089,0.00338628,0.00318264,0.00311075,0.00309218
1.81760217,0.00367438,0.00359100,0.00342770,0.00337958,0.00317182,0.00310058,0.00308589
1.82502096,0.00374865,0.00361325,0.00342114,0.00337559,0.00318088,0.00309135,0.00307455
1.83243974,0.00374436,0.00361721,0.00341561,0.00336618,0.00317033,0.00308628,0.00306862
1.83985852,0.00379595,0.00363422,0.00341789,0.00337137,0.00317834,0.00308347,0.00307002
1.84727731,0.00376789,0.00363948,0.00341751,0.00336987,0.00316983,0.00307652,0.00306486
1.85469609,0.00376318,0.00366490,0.00342322,0.00337244,0.00317791,0.00307613,0.00306671
1.86211488,0.00385334,0.00367706,0.00342325,0.00337141,0.00317134,0.00307178,0.00306110
1.86953366,0.00384276,0.00370179,0.00342665,0.00337579,0.00316847,0.00307265,0.00305912
1.87695245,0.00391199,0.00371013,0.00342086,0.00336667,0.00317393,0.00306710,0.00305524
1.88437123,0.00387783,0.00371660,0.00342659,0.00337104,0.00316282,0.00305062,0.00304583
1.89179001,0.00392224,0.00374039,0.00342320,0.00336688,0.00317179,0.00305867,0.00305510
1.89920880,0.00393911,0.00374237,0.00341144,0.00335839,0.00315176,0.00304207,0.00303430
1.90662758,0.00397777,0.00375161,0.00341006,0.00335388,0.00316124,0.00303410,0.00303612
1.91404637,0.00401497,0.00376393,0.00340667,0.00334983,0.00314936,0.00302653,0.00302698
1.92146515,0.00397487,0.00376960,0.00339521,0.00333581,0.00314283,0.00301458,0.00301281
1.92888394,0.00404047,0.00380008,0.00340641,0.00334793,0.00314304,0.00301535,0.00302232
